Code commune;Libellé;Taux AOT;Taux syndicat mixte;Date effet;Codes postaux afférents;
'01005';COMMUNAUTE DE COMMUNES DOMBES SAONE-VALLEE;0.6;0;20160701;'01330';
'01021';COMMUNAUTE DE COMMUNES DOMBES SAONE-VALLEE;0.6;0;20160701;'01480';
'01024';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01004';'01340';
'01027';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0.6;0;20240101;'01121';'01122';'01124';'01360';
'01027';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0;0;20240701;'01121';'01122';'01124';'01360';
'01027';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0.45;0;20250101;'01121';'01122';'01124';'01360';
'01029';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01270';
'01029';GRAND BOURG AGGLOMERATION;1.1;0;20240701;'01270';
'01030';COMMUNAUTE DE COMMUNES DOMBES SAONE-VALLEE;0.6;0;20160701;'01480';
'01032';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0.6;0;20240101;'01121';'01360';'01365';
'01032';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0;0;20240701;'01121';'01360';'01365';
'01032';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0.45;0;20250101;'01121';'01360';'01365';
'01038';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01370';
'01040';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01340';
'01043';COMMUNAUTE DE COMMUNES DE MIRIBEL ET DU PLATEAU;0.5;0;20210101;'01700';'01702';'01703';'01704';'01708';
'01049';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0.6;0;20240101;'01120';'01121';'01122';'01123';'01124';'01125';'01126';
'01049';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0;0;20240701;'01120';'01121';'01122';'01123';'01124';'01125';'01126';
'01049';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0.45;0;20250101;'01120';'01121';'01122';'01123';'01124';'01125';'01126';
'01053';GRAND BOURG AGGLOMERATION;1.1;0;20240101;'01000';'01001';'01002';'01003';'01004';'01005';'01006';'01007';'01008';'01009';'01010';'01011';'01012';'01013';'01014';'01015';'01016';'01017';'01018';'01019';'01020';'01059';'01061';'01069';
'01062';COMMUNAUTE DE COMMUNES DE LA COTIERE A MONTLUEL;0.6;0;20240101;'01126';'01360';
